n,1,2,4,8,16,32,64,128
Quasi-Random Sampling,-0.0360628,0.0489287,-0.0153612,-0.0125215,0.0137854,0.0138103,0.00808238,0.00186042
KD-Tree Sampling,-0.0260891,0.0187702,-0.0605608,-0.0267412,-0.035351,-0.0224947,-0.0211943,-0.00781098
