s,256,512,1024,2048,4096,8192,16384,32768,65536,131072
Quasi-Random Sampling,0.00289546,0.00230001,0.00161421,0.00116207,0.000432172,0.000224164,0.000343396,0.00023039,0.000203109,0.00024299
KD-Tree Sampling,0.00390251,0.0242985,0.0221939,0.00878608,0.00797944,-0.0250596,-0.0916211,-0.0161191,0.00952227,0
