s,256,512,1024,2048,4096,8192,16384,32768,65536,131072
Quasi-Random Sampling,0.00272672,0.00212203,0.00182462,0.00149958,0.000949374,0.000694573,0.0006668,0.000604407,0.000517932,0.000489394
KD-Tree Sampling,-0.0135494,-0.00916004,-0.00183521,-0.00483612,-0.0488833,0.00214126,-0.00497306,0.00880285,0.0127886,0
