n,1,2,4,8,16,32,64,128
Quasi-Random Sampling,0.0197874,-0.0012191,0.00524413,-0.0398807,-0.0349473,-0.013605,-0.00247076,0.00161421
KD-Tree Sampling,0.0264328,0.0167859,0.0290273,0.00897849,-0.00974272,0.0239286,0.00311407,0.00184026
