s,256,512,1024,2048,4096,8192,16384,32768,65536,131072
Quasi-Random Sampling,0.0377577,0.0131164,0.0105249,0.00354956,0.00363391,0.00351197,0.00221516,0.00133875,0.000452332,8.09138E-06
KD-Tree Sampling,0.450227,0.30499,0.348019,0.298211,0.197984,0.105105,0.08612,0.0505637,0.0218895,0
