Data Length,4096,8192,16384,32768,65536,131072,262144
Direct,0.105968,0.467077,1.89601,10.0619,47.092,185.594,735.171
KD-Tree,0.154698,0.637927,2.80354,12.2839,65.6283,251.08,734.051
KD-Tree (Grid),1.28306,4.39172,24.7421,90.009,300.527,1121.18,3018.81
Range-Tree,1.93751,8.15901,47.4607,202.25,803.96,None,None
Quasi-Random Sampling,0.065601,0.137896,0.30002,0.735453,1.62784,3.18809,4.91418
KD-Tree Sampling,0.05858,0.128067,0.262923,0.676921,1.46148,2.67139,4.65383
