n,1,2,4,8,16,32,64,128
Quasi-Random Sampling,-0.0517818,-0.0259243,-0.0811165,-0.0166851,-0.00239557,0.0107827,0.0143876,0.00178807
KD-Tree Sampling,0.0479458,0.0385142,0.0149041,-0.0257921,-0.00243947,-0.00116219,0.0160532,0.00526062
