n,1,2,4,8,16,32,64,128
Quasi-Random Sampling,-0.126266,-0.0535405,0.00546101,0.014168,0.0107734,0.000640529,0.00386787,0.00182462
KD-Tree Sampling,0.0472326,0.0374499,-0.0601366,0.0223396,0.0195578,0.0115519,0.0208441,0.0109753
