s,256,512,1024,2048,4096,8192,16384,32768,65536,131072
Quasi-Random Sampling,0.0367735,0.10833,0.0528305,0.00323841,0.00558818,0.0110978,0.00467799,0.00146305,-0.00136318,-9.0749E-06
KD-Tree Sampling,0.501843,0.482618,0.231487,0.244975,0.260647,0.230819,0.155111,0.0912621,0.0394039,0
