s,256,512,1024,2048,4096,8192,16384,32768,65536,131072
Quasi-Random Sampling,-0.338862,0.0536501,0.0375387,-0.215583,-0.126501,-0.0876023,-0.0747165,0.0109382,0.0298135,-0.00120298
KD-Tree Sampling,-1,-0.999997,0.322275,0.175757,0.52549,0.333619,0.0882632,0.00509449,0.0950098,0
